timestamp_utc,temperature_C,cloudiness_%,weather_description,sunrise_utc,sunset_utc
2025-09-08T20:57:27.258789,16.45,75,broken clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T21:27:27.475544,16.31,75,broken clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T21:57:27.686570,17.01,100,overcast clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T22:27:27.865453,16.1,100,overcast clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-08T22:57:28.044899,16.9,100,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-08T23:27:28.232034,16.9,100,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-08T23:57:28.416447,16.9,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T00:27:28.615329,16.9,75,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T00:57:28.787589,16.13,100,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T01:27:28.970439,16.13,75,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T01:57:29.167570,16.13,100,fog,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T02:27:29.358951,16.08,100,fog,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T02:57:29.562475,16.08,75,fog,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T03:27:29.760083,16.08,75,mist,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T03:57:29.943736,16.08,100,overcast clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T04:27:30.123833,16.08,100,overcast clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T04:57:30.276819,15.34,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T05:27:30.457509,15.32,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:35
2025-09-09T05:57:30.631334,15.34,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T06:27:30.801455,15.34,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T06:57:30.983166,16.13,100,light rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T07:27:31.159699,15.32,20,light intensity shower rain,2025-09-09T04:51:31,2025-09-09T17:49:35
2025-09-09T07:57:31.333917,16.13,20,light intensity shower rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T08:27:31.541235,16.13,75,shower rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T08:57:31.706073,16.22,75,heavy intensity shower rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T09:27:31.896106,16.19,75,shower rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T09:57:32.049779,16.1,75,shower rain,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T10:27:32.251537,16.21,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:35
2025-09-09T10:57:32.402284,16.33,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T11:27:32.588456,17.13,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T11:57:32.784757,17.21,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T12:27:32.980230,17.21,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T12:57:33.142142,18.03,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T13:58:09.953942,19.06,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T14:28:10.103504,19.1,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T14:58:10.283012,19.03,40,scattered clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T15:28:10.473289,19.91,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T15:58:10.653439,19.82,40,scattered clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T16:28:10.835718,19.79,40,scattered clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T16:58:11.018673,19,75,broken clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T17:28:11.230694,18.18,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T17:58:11.465436,18.1,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T18:28:11.686829,16.15,20,few clouds,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T18:58:11.869246,15.14,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T19:28:12.058276,15.11,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T19:58:12.267385,14.14,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T20:28:12.458986,14.08,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T20:58:12.661339,13.12,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T21:28:12.858472,12.39,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T21:58:13.058168,12.19,0,clear sky,2025-09-09T04:51:31,2025-09-09T17:49:34
2025-09-09T22:28:13.249762,12.1,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-09T22:58:13.464195,11.17,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-09T23:28:13.655735,11.17,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
